sub,role,trial,unfairness,choice,choice_RT
25,self,13,95,1,1.648
25,self,14,90,1,2.233
25,self,15,85,1,1.933
25,self,16,50,0,1.585
25,self,17,50,0,2.019
25,self,18,65,0,1.99
25,self,19,90,1,1.749
25,self,20,95,1,3.679
26,self,1,95,0,31.39
26,self,2,80,0,5.703
26,self,3,75,0,5.175
26,self,4,75,0,5.213
26,self,5,70,0,3.848
26,self,6,50,0,3.384
26,self,7,65,0,3.013
26,self,8,60,0,3.519
26,self,9,55,0,2.879
26,self,10,65,0,5.551
26,self,11,70,0,2.9
26,self,12,90,0,2.784
26,self,13,95,0,3.973
26,self,14,85,0,3.084
26,self,15,55,0,3.092
26,self,16,60,0,3.143
26,self,17,85,0,3.184
26,self,18,80,0,3.599
26,self,19,50,0,2.857
26,self,20,90,0,3.265
27,self,1,90,0,5.659
27,self,2,75,0,2.163
27,self,3,65,0,2.903
27,self,4,75,0,2.752
27,self,5,55,0,2.722
27,self,6,65,0,2.889
27,self,7,85,0,2.738
27,self,8,70,0,2.316
27,self,9,50,0,2.792
27,self,10,95,0,2.314
27,self,11,55,0,2.723
27,self,12,85,0,3.311
27,self,13,95,0,2.889
27,self,14,50,0,2.318
27,self,15,60,0,2.641
27,self,16,70,0,2.771
27,self,17,80,0,3.062
27,self,18,90,0,2.536
27,self,19,60,0,2.596
27,self,20,80,0,2.955
28,self,1,50,0,2.461
28,self,2,80,0,2.084
28,self,3,80,0,2.303
28,self,4,55,0,1.914
28,self,5,90,0,1.461
28,self,6,95,1,2.202
28,self,7,85,0,1.414
28,self,8,70,0,1.852
28,self,9,75,0,2.35
28,self,10,65,0,2.028
28,self,11,90,0,1.171
28,self,12,60,0,1.241
28,self,13,60,0,1.37
28,self,14,75,0,2.427
28,self,15,65,0,3.228
28,self,16,85,0,1.929
28,self,17,70,0,1.497
28,self,18,50,0,2.352
28,self,19,55,0,1.933
28,self,20,95,1,1.56
29,self,1,55,0,5.478
29,self,2,60,0,3.868
29,self,3,95,0,7.958
29,self,4,65,0,4.272
29,self,5,50,0,5.12
29,self,6,70,0,5.118
29,self,7,55,0,5.21
29,self,8,90,0,4.99
29,self,9,80,0,5.426
29,self,10,80,0,3.736
29,self,11,50,0,4.009
29,self,12,90,0,3.672
29,self,13,60,0,3.886
29,self,14,75,0,3.333
29,self,15,70,0,3.997
29,self,16,85,0,3.434
29,self,17,65,0,3.944
29,self,18,95,0,3.9
29,self,19,85,0,3.656
29,self,20,75,0,6.404
30,self,1,65,0,2.91
30,self,2,95,1,2.687
30,self,3,65,0,1.95
30,self,4,80,1,2.127
30,self,5,60,0,1.376
30,self,6,85,1,2.024
30,self,7,70,0,2.583
30,self,8,55,0,1.125
30,self,9,50,0,1.797
30,self,10,70,0,2.443
30,self,11,80,1,1.225
30,self,12,50,0,1.458
30,self,13,55,0,1.769
30,self,14,90,1,2.146
30,self,15,75,1,3.334
30,self,16,60,0,2.348
30,self,17,85,1,1.901
30,self,18,90,1,1.667
30,self,19,75,0,1.761
30,self,20,95,1,2.101
31,self,1,85,1,5.984
31,self,2,85,1,6.876
31,self,3,50,0,4.627
31,self,4,60,0,7.106
31,self,5,60,0,3.156
31,self,6,75,1,4.687
31,self,7,65,1,4.669
31,self,8,55,0,3.322
31,self,9,95,1,3.458
31,self,10,50,0,3.76
31,self,11,95,1,3.398
31,self,12,70,1,2.868
31,self,13,55,0,3.444
31,self,14,65,1,3.547
31,self,15,90,1,3.378
31,self,16,80,1,2.913
31,self,17,70,1,3.568
31,self,18,90,1,2.805
31,self,19,75,1,3.94
31,self,20,80,1,3.471
32,self,1,95,1,6.096
32,self,2,95,1,3.821
32,self,3,85,1,3.46
32,self,4,55,0,2.756
32,self,5,85,1,3.295
32,self,6,90,1,3.137
32,self,7,80,0,3.444
32,self,8,50,0,3.307
32,self,9,50,0,7.574
32,self,10,70,0,2.281
32,self,11,75,0,2.288
32,self,12,60,0,2.771
32,self,13,75,0,2.565
32,self,14,90,1,3.904
32,self,15,55,0,3.385
32,self,16,65,0,2.868
32,self,17,65,0,2.33
32,self,18,80,0,2.337
32,self,19,70,0,2.8
32,self,20,60,0,3.198
33,self,1,90,1,12.691
33,self,2,60,0,6.119
33,self,3,95,1,4.762
33,self,4,55,0,9.527
33,self,5,85,1,7.693
33,self,6,55,0,7.281
33,self,7,70,0,15.496
33,self,8,75,1,9.451
33,self,9,65,0,5.379
33,self,10,70,0,5.172
