,sub,trial,inv,mult,ret
318,4,79,4,4,2
319,4,80,4,2,3
320,5,1,8,4,12
321,5,2,4,4,6
322,5,3,5,2,3
323,5,4,5,4,7
324,5,5,10,4,20
325,5,6,10,4,15
326,5,7,5,4,7
327,5,8,5,4,8
328,5,9,2,4,0
329,5,10,4,2,2
330,5,11,3,4,3
331,5,12,7,4,15
332,5,13,5,4,7
333,5,14,4,6,9
334,5,15,5,2,4
335,5,16,4,4,4
336,5,17,10,2,5
337,5,18,0,6,0
338,5,19,5,4,7
339,5,20,1,2,0
340,5,21,9,2,9
341,5,22,6,2,5
342,5,23,10,6,30
343,5,24,2,4,0
344,5,25,9,4,18
345,5,26,10,2,10
346,5,27,2,4,0
347,5,28,0,4,0
348,5,29,2,2,0
349,5,30,6,4,10
350,5,31,6,2,4
351,5,32,9,6,27
352,5,33,2,4,0
353,5,34,4,6,10
354,5,35,10,4,20
355,5,36,6,2,6
356,5,37,4,4,6
357,5,38,3,4,3
358,5,39,2,2,0
359,5,40,5,4,7
360,5,41,8,4,15
361,5,42,5,6,14
362,5,43,5,6,12
363,5,44,5,6,12
364,5,45,1,4,0
365,5,46,0,2,0
366,5,47,7,4,12
367,5,48,3,4,3
368,5,49,10,6,30
369,5,50,8,4,15
370,5,51,6,4,10
371,5,52,0,4,0
372,5,53,5,4,7
373,5,54,6,4,10
374,5,55,9,4,17
375,5,56,5,4,7
376,5,57,6,4,10
377,5,58,5,6,12
378,5,59,4,6,9
379,5,60,3,4,3
380,5,61,8,2,7
381,5,62,5,2,3
382,5,63,10,6,30
383,5,64,4,2,1
384,5,65,10,4,20
385,5,66,4,4,5
386,5,67,9,4,17
387,5,68,7,6,19
388,5,69,5,2,3
389,5,70,3,6,5
390,5,71,2,6,2
391,5,72,1,6,0
392,5,73,6,6,16
393,5,74,7,2,6
394,5,75,3,2,0
395,5,76,1,4,0
396,5,77,6,6,12
397,5,78,8,6,23
398,5,79,3,6,5
399,5,80,3,2,0
400,6,1,5,4,5
401,6,2,2,6,1
402,6,3,6,4,8
403,6,4,5,4,5
404,6,5,5,2,2
405,6,6,6,4,8
406,6,7,4,4,3
407,6,8,5,4,5
408,6,9,10,4,18
409,6,10,7,6,17
410,6,11,1,2,0
411,6,12,3,2,0
412,6,13,2,4,0
413,6,14,10,6,26
414,6,15,2,4,0
415,6,16,5,6,10
416,6,17,9,6,24
417,6,18,8,4,12
418,6,19,5,4,5
419,6,20,8,4,13
420,6,21,5,4,5
421,6,22,4,2,0
422,6,23,5,2,1
423,6,24,4,6,7
424,6,25,10,4,17
425,6,26,7,4,10
426,6,27,5,4,5
427,6,28,4,6,8
428,6,29,6,2,2
429,6,30,3,4,2
430,6,31,0,6,0
431,6,32,6,4,8
432,6,33,5,6,10
433,6,34,10,4,18
434,6,35,0,4,0
435,6,36,5,6,10
436,6,37,2,2,0
437,6,38,5,4,5
438,6,39,9,4,14
439,6,40,4,2,0
440,6,41,5,2,1
441,6,42,3,2,0
442,6,43,7,4,10
443,6,44,3,6,3
444,6,45,4,4,4
445,6,46,8,4,10
446,6,47,6,2,3
447,6,48,9,4,14
448,6,49,10,6,27
449,6,50,0,4,0
450,6,51,4,6,8
451,6,52,4,4,4
452,6,53,6,2,3
453,6,54,1,4,0
454,6,55,2,2,0
455,6,56,3,4,1
456,6,57,6,6,12
457,6,58,7,2,4
458,6,59,6,4,7
459,6,60,4,4,4
460,6,61,2,4,0
461,6,62,0,2,0
462,6,63,10,6,24
463,6,64,3,4,1
464,6,65,5,4,5
465,6,66,5,6,10
466,6,67,3,4,1
467,6,68,2,4,0
468,6,69,8,2,4
469,6,70,3,6,4
470,6,71,6,6,11
471,6,72,9,4,14
472,6,73,1,6,0
473,6,74,10,4,18
474,6,75,10,2,8
475,6,76,8,6,17
476,6,77,1,4,0
477,6,78,5,2,2
478,6,79,9,2,7
479,6,80,10,2,8
480,7,1,3,4,4
481,7,2,6,4,12
482,7,3,4,6,8
483,7,4,9,6,19
484,7,5,2,2,3
485,7,6,9,4,17
486,7,7,4,2,4
487,7,8,10,6,20
488,7,9,5,2,6
489,7,10,2,4,3
490,7,11,2,2,0
491,7,12,10,6,20
492,7,13,3,2,2
493,7,14,1,4,0
494,7,15,5,4,7
495,7,16,7,2,3
496,7,17,6,6,13
497,7,18,1,2,0
498,7,19,8,6,15
499,7,20,3,4,2
500,7,21,10,2,10
501,7,22,6,4,10
502,7,23,7,4,12
503,7,24,5,6,8
504,7,25,7,4,13
505,7,26,8,4,14
506,7,27,6,2,4
507,7,28,1,4,0
508,7,29,5,4,8
509,7,30,8,4,15
510,7,31,4,4,4
511,7,32,0,4,0
512,7,33,6,2,3
513,7,34,4,4,6
514,7,35,5,6,8
515,7,36,3,2,0
516,7,37,4,2,1
517,7,38,6,4,10
518,7,39,2,4,0
519,7,40,5,2,2
520,7,41,4,4,5
521,7,42,8,4,15
522,7,43,2,4,0
523,7,44,10,4,20
524,7,45,7,6,12
525,7,46,9,4,18
526,7,47,0,4,0
527,7,48,5,4,7
528,7,49,5,4,7
529,7,50,5,4,7
530,7,51,3,4,2
531,7,52,1,6,0
532,7,53,5,2,2
533,7,54,0,2,0
534,7,55,10,4,20
535,7,56,2,6,0
536,7,57,6,4,10
537,7,58,3,4,2
538,7,59,3,6,2
539,7,60,0,6,0
540,7,61,3,6,2
541,7,62,9,2,10
542,7,63,10,6,20
543,7,64,4,4,4
544,7,65,5,6,7
545,7,66,5,4,7
546,7,67,4,6,5
547,7,68,8,2,7
548,7,69,4,6,4
549,7,70,6,6,10
550,7,71,2,4,0
551,7,72,10,4,20
552,7,73,10,4,20
553,7,74,10,2,5
554,7,75,9,4,17
555,7,76,6,2,4
556,7,77,5,4,7
557,7,78,5,6,7
558,7,79,5,2,2
559,7,80,5,4,7
560,8,1,5,2,1
561,8,2,5,2,1
562,8,3,2,2,0
563,8,4,3,4,2
564,8,5,8,4,14
565,8,6,9,6,17
566,8,7,3,4,2
567,8,8,5,2,1
568,8,9,6,6,10
569,8,10,1,2,0
570,8,11,4,2,1
571,8,12,8,6,10
572,8,13,3,2,0
573,8,14,5,4,6
574,8,15,10,6,17
575,8,16,5,2,2
576,8,17,3,6,2
577,8,18,9,4,16
578,8,19,6,4,8
579,8,20,1,4,0
580,8,21,6,2,4
581,8,22,1,6,0
582,8,23,0,4,0
583,8,24,9,4,17
584,8,25,3,6,2
585,8,26,6,4,8
586,8,27,5,4,6
587,8,28,10,4,18
588,8,29,0,6,0
589,8,30,2,4,0
590,8,31,10,4,18
591,8,32,4,6,4
592,8,33,4,6,5
593,8,34,4,4,4
594,8,35,8,4,13
595,8,36,7,4,11
596,8,37,6,2,3
597,8,38,0,2,0
598,8,39,9,4,15
599,8,40,4,4,4
600,8,41,5,6,7
601,8,42,4,2,1
602,8,43,10,6,19
603,8,44,4,4,4
604,8,45,6,6,11
