trial,choice,outcome,choice_rt,true_prob_A,smooth
105,1,0,0.3989307690644637,0.7,0.6666666666666666
106,0,0,0.17925439903046936,0.7,0.6666666666666666
107,1,1,0.4467765879817307,0.7,0.8333333333333334
108,1,1,0.2800475830445066,0.7,0.8333333333333334
109,0,0,0.2715792909730226,0.7,0.8333333333333334
110,1,0,0.3709622439928353,0.7,1
111,1,1,0.33507438004016876,0.7,1
112,1,1,0.33037104504182935,0.7,1
113,1,1,0.3297126649413258,0.7,1
114,1,1,0.3407670820597559,0.7,1
115,1,1,0.34499738400336355,0.7,1
116,1,1,0.3164649870013818,0.7,1
117,1,1,0.3883685329928994,0.7,1
118,1,0,0.3810620689764619,0.7,1
119,1,1,0.36818334204144776,0.7,1
120,1,1,0.42598571302369237,0.7,1
121,1,1,0.38760854909196496,0.30000000000000004,1
122,1,1,0.4022811760660261,0.30000000000000004,1
123,1,1,0.3168927360093221,0.30000000000000004,1
124,1,0,0.29994676099158823,0.30000000000000004,0.8333333333333334
125,1,0,0.33258349902462214,0.30000000000000004,0.8333333333333334
126,1,0,0.353834476089105,0.30000000000000004,0.8333333333333334
127,1,0,0.2685931989690289,0.30000000000000004,0.8333333333333334
128,1,0,0.3577220169827342,0.30000000000000004,0.6666666666666666
129,0,0,0.5800891489489004,0.30000000000000004,0.5
130,1,0,0.36373926792293787,0.30000000000000004,0.5
131,1,0,0.3645416309591383,0.30000000000000004,NA
132,1,0,0.2699767320882529,0.30000000000000004,NA
133,0,1,0.4414877960225567,0.30000000000000004,NA
134,0,0,0.3571700530592352,0.30000000000000004,NA
135,0,1,0.3388493930688128,0.30000000000000004,NA
