sub,gamble_number,choice,choice_label,trial,value_A,value_B,prob_A,prob_B,ev_A,ev_B
45,6,1,A,7,6000,3000,1E-3,2E-3,6,6
45,1,0,B,8,"2500, 2400",2400,".33, .66",1,2409,2400
45,2,0,B,9,2500,2400,0.33,0.34,825,816.0000000000001
45,3,0,B,10,4000,3000,0.8,1,3200,3000
45,5,0,B,11,6000,3000,0.45,0.9,2700,2700
45,14,0,B,12,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
45,4,0,B,13,4000,3000,0.2,0.25,800,750
45,10,0,B,14,-6000,-3000,1E-3,2E-3,-6,-6
45,16,1,A,15,5000,5,1E-3,1,5,5
45,13,1,A,16,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
45,8,0,B,17,-4000,-3000,0.2,0.25,-800,-750
45,15,1,A,18,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
46,4,1,A,1,4000,3000,0.2,0.25,800,750
46,7,1,A,2,-4000,-3000,0.8,1,-3200,-3000
46,12,0,B,3,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
46,3,0,B,4,4000,3000,0.8,1,3200,3000
46,10,1,A,5,-6000,-3000,1E-3,2E-3,-6,-6
46,2,1,A,7,2500,2400,0.33,0.34,825,816.0000000000001
46,5,0,B,8,6000,3000,0.45,0.9,2700,2700
46,14,0,B,9,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
46,8,0,B,10,-4000,-3000,0.2,0.25,-800,-750
46,11,0,B,11,4000,3000,0.2,0.25,800,750
46,16,0,B,12,5000,5,1E-3,1,5,5
46,9,1,A,13,-6000,-3000,0.45,0.9,-2700,-2700
46,6,1,A,14,6000,3000,1E-3,2E-3,6,6
46,1,1,A,15,"2500, 2400",2400,".33, .66",1,2409,2400
46,15,1,A,16,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
46,17,0,B,17,-5000,-5,1E-3,1,-5,-5
46,13,1,A,18,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
47,3,0,B,1,4000,3000,0.8,1,3200,3000
47,13,0,B,2,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
47,14,1,A,3,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
47,17,0,B,4,-5000,-5,1E-3,1,-5,-5
47,2,1,A,5,2500,2400,0.33,0.34,825,816.0000000000001
47,10,0,B,7,-6000,-3000,1E-3,2E-3,-6,-6
47,8,0,B,8,-4000,-3000,0.2,0.25,-800,-750
47,12,1,A,9,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
47,15,1,A,10,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
47,6,0,B,11,6000,3000,1E-3,2E-3,6,6
47,9,1,A,12,-6000,-3000,0.45,0.9,-2700,-2700
47,16,0,B,13,5000,5,1E-3,1,5,5
47,5,0,B,14,6000,3000,0.45,0.9,2700,2700
47,7,1,A,15,-4000,-3000,0.8,1,-3200,-3000
47,4,1,A,16,4000,3000,0.2,0.25,800,750
47,1,0,B,17,"2500, 2400",2400,".33, .66",1,2409,2400
47,11,0,B,18,4000,3000,0.2,0.25,800,750
48,3,0,B,1,4000,3000,0.8,1,3200,3000
48,5,0,B,2,6000,3000,0.45,0.9,2700,2700
48,8,1,A,3,-4000,-3000,0.2,0.25,-800,-750
48,7,1,A,4,-4000,-3000,0.8,1,-3200,-3000
48,16,0,B,5,5000,5,1E-3,1,5,5
48,17,1,A,7,-5000,-5,1E-3,1,-5,-5
48,9,1,A,8,-6000,-3000,0.45,0.9,-2700,-2700
48,4,1,A,9,4000,3000,0.2,0.25,800,750
48,6,1,A,10,6000,3000,1E-3,2E-3,6,6
48,2,1,A,11,2500,2400,0.33,0.34,825,816.0000000000001
48,10,1,A,12,-6000,-3000,1E-3,2E-3,-6,-6
48,13,1,A,13,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
48,15,1,A,14,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
48,11,0,B,15,4000,3000,0.2,0.25,800,750
48,14,0,B,16,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
48,12,0,B,17,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
48,1,0,B,18,"2500, 2400",2400,".33, .66",1,2409,2400
49,1,0,B,1,"2500, 2400",2400,".33, .66",1,2409,2400
49,12,1,A,2,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
49,10,0,B,3,-6000,-3000,1E-3,2E-3,-6,-6
49,4,1,A,4,4000,3000,0.2,0.25,800,750
49,8,1,A,5,-4000,-3000,0.2,0.25,-800,-750
49,9,1,A,7,-6000,-3000,0.45,0.9,-2700,-2700
49,13,1,A,8,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
49,2,0,B,9,2500,2400,0.33,0.34,825,816.0000000000001
49,17,0,B,10,-5000,-5,1E-3,1,-5,-5
49,14,1,A,11,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
49,11,0,B,12,4000,3000,0.2,0.25,800,750
49,16,0,B,13,5000,5,1E-3,1,5,5
49,6,1,A,14,6000,3000,1E-3,2E-3,6,6
49,3,0,B,15,4000,3000,0.8,1,3200,3000
49,7,1,A,16,-4000,-3000,0.8,1,-3200,-3000
49,15,1,A,17,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
49,5,1,A,18,6000,3000,0.45,0.9,2700,2700
50,8,1,A,1,-4000,-3000,0.2,0.25,-800,-750
50,4,1,A,2,4000,3000,0.2,0.25,800,750
50,12,0,B,3,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
50,11,1,A,4,4000,3000,0.2,0.25,800,750
50,2,1,A,5,2500,2400,0.33,0.34,825,816.0000000000001
50,10,1,A,7,-6000,-3000,1E-3,2E-3,-6,-6
50,1,0,B,8,"2500, 2400",2400,".33, .66",1,2409,2400
50,6,1,A,9,6000,3000,1E-3,2E-3,6,6
50,17,0,B,10,-5000,-5,1E-3,1,-5,-5
50,13,1,A,11,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
50,14,0,B,12,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
50,15,0,B,13,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
50,16,1,A,14,5000,5,1E-3,1,5,5
50,7,1,A,15,-4000,-3000,0.8,1,-3200,-3000
